name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp
Chi-Raq (2015)            ,"5.7 based on 5,534 user ratings",2015-12-04,Spike Lee,"Nick Cannon,Teyonah Parris,Wesley Snipes",77,58 user,140 critic,2,"violence,murder,crying-woman,controversy,box-office-flop","Comedy,Crime,Drama,Musical","Rated R for strong sexual content including dialogue, nudity, language, some violence and drug use",USA,English,NA,1198356(USA),2647377,127,Color,2.35:1
Z for Zachariah (2015)            ,"6.0 based on 16,397 user ratings",2015-08-28,Craig Zobel,"Chiwetel Ejiofor,Chris Pine,Margot Robbie",68,61 user,120 critic,332,"post-apocalypse,love-triangle,interracial,three-word-title,letter-in-title","Drama,Sci-Fi,Thriller","Rated PG - 13 for a scene of sexuality, partial nudity, and brief strong language","Iceland,Switzerland,New Zealand,USA",English,NA,56902(USA),118483,98,Color,2.35:1
Heaven Knows What (2014)            ,"6.4 based on 1,965 user ratings",2015-05-29,"Ben Safdie,Joshua Safdie","Arielle Holmes,Caleb Landry Jones,Buddy Duress",75,12 user,61 critic,NA,NA,Drama,"Rated R for drug use throughout, pervasive language, disturbing and violent images, sexuality, and graphic nudity",USA,"English,Spanish",NA,16862(USA),80015,97,Color,1.78:1
The Mask You Live In (2015)            ,7.6 based on 543 user ratings,2015-01-25,NA,NA,NA,7 user,5 critic,NA,NA,"Documentary,News",NA,USA,English,NA,NA,NA,97,Color,NA
Knock Knock (2015)            ,"4.9 based on 43,114 user ratings",2015-10-09,Eli Roth,"Keanu Reeves,Lorenza Izzo,Ana de Armas",53,357 user,187 critic,477,"torture,female-psychopath,threesome,artist,architect","Drama,Horror,Thriller","Rated R for disturbing violent behavior, strong sexual content, nudity and language","USA,Chile","English,Spanish",2500000,3943(USA),34004,99,Color,2.35:1
Fantastic Four (2015)            ,"4.3 based on 109,629 user ratings",2015-08-07,Josh Trank,"Miles Teller,Kate Mara,Michael B. Jordan",27,692 user,367 critic,392,"box-office-flop,critically-bashed,troubled-production,teleportation,portal","Action,Adventure,Sci-Fi","Rated PG-13 for sci-fi action violence, and language",USA,English,120000000,25685737(USA),56114221,100,Color,2.35:1
Take Me to the River (2015)            ,5.7 based on 456 user ratings,2015-01-26,Matt Sobel,"Logan Miller,Robin Weigert,Josh Hamilton",65,6 user,28 critic,NA,"river,sexual-abuse-of-minor,gay-teenager,swimming,family-relationships",Drama,NA,USA,English,NA,NA,NA,84,Color,NA
Bessie (2015)            ,"6.6 based on 2,723 user ratings",2015-05-16,Dee Rees,"Michael Kenneth Williams,Bryan Greenberg,Tika Sumpter",NA,15 user,14 critic,NA,"1920s,blues,loss-of-mother,framed-photograph,family-home","Biography,Drama,Music",NA,USA,English,NA,NA,NA,132,Color,1.78:1
He Named Me Malala (2015)            ,"6.7 based on 2,794 user ratings",2015-10-22,Davis Guggenheim,"Malala Yousafzai,Ziauddin Yousafzai,Toor Pekai Yousafzai",61,24 user,96 critic,NA,"animated-segments,father-daughter-relationship,nobel-prize-winner,adolescence,survivor",Documentary,Rated PG-13 for thematic elements involving disturbing images and threats,"United Arab Emirates,USA",English,NA,60884(USA),2642899,88,Color,1.85:1
The Lazarus Effect (2015)            ,"5.2 based on 28,352 user ratings",2015-02-27,David Gelb,"Olivia Wilde,Mark Duplass,Evan Peters",31,126 user,152 critic,2,"experiment,serum,university,electrocuted,hell","Horror,Sci-Fi,Thriller","Rated PG-13 for intense sequences of horror violence, terror and some sexual references",USA,English,3300000,10203437(USA),25799043,83,Color,2.35:1
Cro Minion (2015)            ,6.2 based on 168 user ratings,2015-12-08,NA,NA,NA,NA,NA,NA,"wordplay-in-title,club-the-weapon,throwing-blame-onto-another,falling-from-height,baby-boy","Animation,Short,Comedy,Family",NA,USA,English,NA,NA,NA,5,Color,NA
Freaks of Nature (2015)            ,"5.8 based on 5,401 user ratings",2015-10-30,NA,NA,NA,25 user,36 critic,NA,"minority-issues,social-issues,ethnical-issues,social-satire,political-satire","Comedy,Horror","Rated R for bloody violence and gore, pervasive language, sexual content and drug use - all involving teens",USA,English,NA,NA,NA,92,Color,2.35:1
Batkid Begins (2015)            ,"6.6 based on 1,202 user ratings",2015-06-26,Dana Nachman,"Teresa Clovicko,Audrey Copper,Katie Cotton",63,10 user,20 critic,NA,"gagged,bound-and-gagged,damsel-in-distress","Documentary,Biography,Family",Rated PG for some mild thematic material,USA,English,NA,19437(USA),73002,87,Color,NA
Poltergeist (2015)            ,"5.0 based on 41,642 user ratings",2015-05-22,Gil Kenan,"Sam Rockwell,Rosemarie DeWitt,Kennedi Clements",47,329 user,264 critic,1,"brother-sister-relationship,ghost,cemetery,university,dinner-party","Horror,Thriller","Rated PG-13 for intense frightening sequences, brief suggestive material, and some language",USA,English,35000000,22600000(USA),47415690,93,Color,2.35:1
A Lego Brickumentary (2014)            ,"6.8 based on 1,209 user ratings",2015-07-31,"Kief Davidson,Daniel Junge","Jason Bateman,Jamie Berard,Bryan Bonahoom",51,11 user,42 critic,NA,"toy,lego,denmark,artist,toy-company",Documentary,NA,"Denmark,USA","English,Portuguese",1000000,43285(USA),100240,93,Color,NA
The Answers (2015)            ,8.2 based on 438 user ratings,2015-02-06,NA,NA,NA,4 user,NA,NA,NA,"Short,Comedy,Drama,Fantasy",NA,USA,English,NA,NA,NA,8,Color,NA
Bleed for This (2016)            ,NA,2016-11-23,Ben Younger,"Miles Teller,Katey Sagal,Aaron Eckhart",NA,NA,NA,NA,"male-objectification,comeback,male-wearing-thong,man-wearing-thong,bare-chested-male","Biography,Drama,Sport",NA,USA,English,NA,NA,NA,134,Color,NA
A Film About Coffee (2014)            ,6.8 based on 159 user ratings,2014-04-26,NA,NA,NA,2 user,1 critic,NA,NA,Documentary,NA,USA,English,NA,NA,NA,67,Color,1.78:1
Paternity Leave (2015)            ,6.8 based on 623 user ratings,2015-11-24,Matt Riddlehoover,"Jacob York,Charlie David,Chris Salvatore",NA,3 user,12 critic,NA,"baby,gay-interest,gay-couple,gay-lead-character,long-term-relationship","Comedy,Romance",NA,USA,English,200000,NA,NA,90,Color,2.35:1
The King's Daughter (2016)            ,NA,2016-10-07,NA,NA,NA,NA,NA,NA,NA,"Action,Adventure,Fantasy",NA,USA,English,40500000,NA,NA,NA,Color,2.35:1
"Stockholm, Pennsylvania (2015)            ","6.2 based on 1,006 user ratings",2015-05-02,NA,NA,47,6 user,11 critic,NA,NA,"Drama,Thriller",NA,USA,English,NA,NA,NA,99,Color,16:9HD
Barista (2015)            ,6.3 based on 187 user ratings,2015-11-06,Rock Baijnauth,"Eden-Marie Abramowicz,Charles Babinski,Charlie Habegger",NA,1 user,5 critic,NA,NA,Documentary,NA,USA,English,NA,NA,NA,103,Color,1.85:1
Deep Web (2015)            ,"7.1 based on 4,707 user ratings",2015-11-21,Alex Winter,"Nicolas Christin,Cindy Cohn,Joshua L. Dratel",NA,11 user,21 critic,NA,"internet,dark-web,world-wide-web,website,war-on-drugs",Documentary,NA,USA,English,NA,NA,NA,90,Color,NA
The Family Fang (2015)            ,"6.2 based on 2,083 user ratings",2016-05-06,Jason Bateman,"Jason Bateman,Nicole Kidman,Kathryn Hahn",67,20 user,50 critic,1,"search,macabre-art,controversial-artist,conceptual-art,happy-ending","Comedy,Drama,Mystery",Rated R for some language,USA,English,NA,14506(USA),240067,105,Color,2.35:1
Entourage (2015)            ,"6.6 based on 59,063 user ratings",2015-06-03,Doug Ellin,"Adrian Grenier,Kevin Connolly,Jerry Ferrara",38,174 user,216 critic,685,"the-golden-globes,reference-to-paris-hilton,reference-to-kim-kardashian,arm-sling,father-son-relationship",Comedy,"Rated R for pervasive language, strong sexual content, nudity and some drug use",USA,English,30000000,10283250(USA),32361416,104,Color,2.35:1
Daddy (2015)            ,5.3 based on 267 user ratings,2016-04-08,NA,NA,NA,12 user,6 critic,NA,"lgbtq,love,the-family,gay","Comedy,Drama,Mystery",NA,USA,English,NA,NA,NA,89,Color,NA
The Overnight (2015)            ,"6.2 based on 10,212 user ratings",2015-06-19,Patrick Brice,"Adam Scott,Taylor Schilling,Jason Schwartzman",65,36 user,111 critic,2,"prosthetic-penis,male-nudity,penis-size,night,nude-swimming","Comedy,Mystery","Rated R for strong sexuality, graphic nudity, language and drug use.",USA,"English,French",NA,53022(USA),1100000,79,Color,1.85:1
Wild Card (2015)            ,"5.6 based on 36,289 user ratings",2015-01-14,Simon West,"Jason Statham,Michael Angarano,Dominik García-Lorido",40,111 user,130 critic,1,"thug,bodyguard,gambling,criminal,mob-boss","Action,Crime,Drama,Thriller","Rated R for strong violence, language and some sexuality/nudity",USA,English,30000000,NA,NA,92,Color,2.35:1
Home Sweet Hell (2015)            ,"5.4 based on 10,070 user ratings",2015-02-03,Anthony Burns,"Katherine Heigl,Patrick Wilson,Madison Wolfe",22,29 user,29 critic,3,"murder,blackmail,husband-wife-relationship,infidelity,masturbation","Comedy,Crime,Thriller","Rated R for violence,  language, sexual content and some drug  use",USA,English,3000000,NA,NA,98,Color,NA
Intruders (2015)            ,"5.7 based on 5,318 user ratings",2016-01-15,NA,NA,39,20 user,79 critic,871,NA,"Drama,Horror,Thriller",Rated R for violence and language,USA,English,NA,NA,NA,90,Color,2.35:1
The Boy (2015)            ,"5.4 based on 3,134 user ratings",2015-03-14,Craig William Macneill,"David Morse,Jared Breeze,Rainn Wilson",45,26 user,34 critic,4,"9-year-old,murder,killer-as-protagonist,mad-child,child-with-a-knife","Drama,Horror,Thriller",NA,USA,English,NA,NA,NA,105,Color,NA
Babysitter's Black Book (2015)            ,"5.5 based on 1,302 user ratings",2015-02-21,Lee Friedlander,"Spencer Locke,Ryan McPartlin,Perrey Reeves",NA,7 user,3 critic,NA,"babysitting,money,gift,betrayed,chemistry",Drama,NA,USA,English,NA,NA,NA,88,Color,16:9HD
Love the Coopers (2015)            ,"5.7 based on 8,967 user ratings",2015-11-13,Jessie Nelson,"Steve Martin,Diane Keaton,John Goodman",31,68 user,97 critic,1,"christmas,large-family,family-dinner,husband-wife-conflict,husband-wife-kiss",Comedy,"Rated PG - 13 for thematic elements,  language and some sexuality",USA,English,17000000,8317545(USA),26284475,107,Color,2.35:1
The Boy Next Door (2015)            ,"4.6 based on 27,034 user ratings",2015-01-23,Rob Cohen,"Jennifer Lopez,Ryan Guzman,Kristin Chenoweth",30,131 user,149 critic,850,"older-woman-younger-man-relationship,oral-sex,argument,sex-scene,adultery","Mystery,Thriller","Rated R for violence, sexual content/nudity and language",USA,English,4000000,14910105(USA),35385560,91,Color,2.35:1
Unfinished Business (2015)            ,"5.4 based on 22,980 user ratings",2015-03-06,Ken Scott,"Vince Vaughn,Dave Franco,Tom Wilkinson",32,89 user,90 critic,2,"business-trip,male-nudity,company,male-frontal-nudity,glory-hole",Comedy,"Rated R for some strong risqué sexual content/graphic nudity, and for language and drug use",USA,English,35000000,4772613(USA),10214013,91,Color,2.35:1
King Jack (2015)            ,"7.1 based on 1,046 user ratings",2016-06-10,Felix Thompson,"Charlie Plummer,Cory Nichols,Christian Madsen",72,8 user,29 critic,2,NA,"Adventure,Drama",NA,USA,English,NA,NA,NA,81,Color,NA
Dukale's Dream (2014)            ,7.8 based on 28 user ratings,2015-07-14,Josh Victor Rothstein,"Deborra-Lee Furness,Hugh Jackman",NA,NA,1 critic,NA,NA,Documentary,NA,NA,English,NA,NA,NA,70,Color,NA
Iris (2014)            ,"7.1 based on 2,538 user ratings",2015-04-29,Albert Maysles,"Carl Apfel,Harold Koda,Dries Van Noten",80,10 user,51 critic,NA,NA,"Documentary,Biography,History",Rated PG - 13 for some strong language,USA,English,NA,57254(USA),1310229,79,Color,1.78:1
De Palma (2015)            ,7.7 based on 318 user ratings,2016-09-23,"Noah Baumbach,Jake Paltrow",NA,83,7 user,52 critic,NA,"director,film-making,filmmaker,film-director","Documentary,Biography","Rated R for violent images, graphic nudity, sexual content and some language",USA,English,NA,30355(USA),154456,107,Color,1.85:1
Naomi and Ely's No Kiss List (2015)            ,"5.7 based on 4,119 user ratings",2015-09-18,Kristin Hanggi,"Victoria Justice,Pierson Fode,Matthew Daddario",NA,47 user,6 critic,NA,"friendship,new-york-city,superhero-costume,sid-and-nancy-costume,halloween-costume","Comedy,Drama,Romance",NA,USA,"English,Spanish",NA,NA,NA,89,Color,NA
Maggie (2015)            ,"5.6 based on 30,052 user ratings",2015-05-08,Henry Hobson,"Arnold Schwarzenegger,Abigail Breslin,Joely Richardson",52,199 user,256 critic,1,"zombie-apocalypse,father-daughter-relationship,playing-against-type,post-apocalypse,protective-father","Drama,Horror","Rated PG-13 for disturbing thematic material including bloody images, and some language","USA,Switzerland",English,8500000,131175(USA),131175,95,Color,2.35:1
Time Out of Mind (2014)            ,"5.7 based on 2,396 user ratings",2015-09-18,Oren Moverman,"Richard Gere,Ben Vereen,Jena Malone",75,28 user,64 critic,NA,NA,Drama,NA,USA,English,NA,18934(USA),162270,120,Color,2.35:1
Fata Morgana (2016)            ,8.7 based on 7 user ratings,2016-04-15,NA,NA,NA,NA,NA,NA,NA,"Short,Drama,Family",NA,"China,USA","English,Chinese",NA,NA,NA,21,Color,NA
Inside Einstein's Mind: The Enigma of Space and Time (2015)            ,7.8 based on 48 user ratings,2015-11-25,Jamie E. Lochhead,"Jay O. Sanders,David Tennant,Hamza Ripley",NA,1 user,NA,NA,NA,Documentary,NA,UK,English,NA,NA,NA,53,Color,NA
The Transporter Refueled (2015)            ,"5.1 based on 26,521 user ratings",2015-09-04,Camille Delamarre,"Ed Skrein,Loan Chabanol,Ray Stevenson",32,121 user,148 critic,1,"car,driver,car-stunt,private-jet,airfield","Action,Crime,Thriller","Rated PG-13 for sequences of violence and action, sexual material, some language, a drug reference and thematic elements","France,China,Belgium","English,Russian,French",25000000,7130000(USA),16027866,96,Color,2.35:1
Pay the Ghost (2015)            ,"5.2 based on 9,279 user ratings",2015-09-25,Uli Edel,"Nicolas Cage,Sarah Wayne Callies,Veronica Ferres",23,55 user,66 critic,2,"halloween,halloween-parade,ghost,impaled,scene-during-end-credits","Drama,Horror,Mystery,Thriller",NA,Canada,English,NA,NA,NA,94,Color,NA
A Very Murray Christmas (2015)            ,"5.5 based on 9,461 user ratings",2015-12-04,Sofia Coppola,"Bill Murray,Paul Shaffer,Michael Cera",NA,47 user,27 critic,NA,"actor-playing-himself,christmas-carol,written-by-star,written-by-director,christmas-special","Comedy,Music,Musical",NA,USA,English,NA,NA,NA,56,Color,1.78:1
Like You Mean It (2015)            ,4.6 based on 232 user ratings,2015-12-08,NA,NA,NA,5 user,4 critic,NA,gay,Drama,NA,USA,English,NA,NA,NA,90,Color,NA
The Girl in the Book (2015)            ,"6.1 based on 2,037 user ratings",2015-12-11,Marya Cohn,"Emily VanCamp,Michael Nyqvist,Ana Mulvoy-Ten",68,15 user,17 critic,4,"girl,book,new-york,friend,self-destructiveness",Drama,NA,USA,English,NA,5249(USA),5249,86,Color,NA
Fast & Furious: Supercharged (2015)            ,7.5 based on 325 user ratings,2015-06-25,NA,NA,NA,2 user,NA,NA,NA,"Short,Action",NA,USA,English,NA,NA,NA,NA,Color,NA
Last Days in the Desert (2015)            ,5.8 based on 476 user ratings,2016-05-26,Rodrigo García,"Ewan McGregor,Ciarán Hinds,Tye Sheridan",67,3 user,36 critic,1,NA,"Adventure,Drama,History",Rated PG-13 for some disturbing images and brief partial nudity,USA,English,NA,NA,NA,98,Color,2.35:1
90 Minutes in Heaven (2015)            ,"4.6 based on 2,035 user ratings",2015-09-11,Michael Polish,"Kate Bosworth,Hayden Christensen,Hudson Meek",28,28 user,12 critic,3,"heaven,pronounced-dead,recovery,hospital,praying",Drama,Rated PG-13 for intense accident and injury images,USA,English,5000000,2035273(USA),4700361,121,Color,2.35:1
Into the Forest (2015)            ,"6.3 based on 1,254 user ratings",2016-07-29,Patricia Rozema,"Ellen Page,Evan Rachel Wood,Max Minghella",59,12 user,35 critic,100,"power-outage,survival,killing-an-animal,baby,pregnant-from-rape","Drama,Sci-Fi","Rated R for a scene of violence involving rape, language and some sexuality/nudity",Canada,English,NA,NA,NA,101,Color,NA
Shelter (2014)            ,"6.4 based on 2,058 user ratings",2015-12-11,Paul Bettany,"Adolfo Mendez-Nouel,Anthony Mackie,Kevin Hoffman",43,16 user,20 critic,NA,"junkie,homelessness,female-frontal-nudity,female-nudity,emaciation",Drama,NA,USA,English,NA,NA,NA,105,Color,NA
