name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp,rating,contentRatingLevel,year
The Beach ,"6.6 based on 175,773 user ratings",2000-02-11,Danny Boyle,"Leonardo DiCaprio,Daniel York,Patcharawan Patarakijjanon",43,NA,NA,1,"thailand,map,paradise,travel,love","Adventure,Drama,Thriller","Rated R for violence, some strong sexuality, language and drug content","USA,UK","English,French,Swedish,Thai,Serbian",50000000,£2418321(UK),39778599,119,Color,2.35:1,6.6,R,2000
For the Birds ,"8.1 based on 20,408 user ratings",2001-11-02,NA,NA,NA,NA,NA,NA,"bird,telephone-wire,poetic-justice,hiding,mockery","Animation,Short,Comedy,Family",NA,USA,NA,NA,NA,NA,3,Color,NA,8.1,NA,2001
Final Destination ,"6.7 based on 180,740 user ratings",2000-03-17,James Wong,"Devon Sawa,Ali Larter,Kerr Smith",36,NA,NA,1,"death,premonition,teenager,explosion,dead-teenager","Horror,Thriller","Rated R for violence and terror, and for language","USA,Canada","English,French",23000000,10015822(USA),53302314,98,Color,1.85:1,6.7,R,2000
The Cell ,"6.3 based on 79,784 user ratings",2000-08-18,Tarsem Singh,"Jennifer Lopez,Vince Vaughn,Vincent D'Onofrio",40,NA,NA,2,"serial-killer,race-against-time,coma,fbi,alternate-reality","Horror,Sci-Fi,Thriller","Rated R for bizarre violence and sexual images, nudity and language","USA,Germany",English,33000000,17515050(USA),61280963,107,Color,2.35:1,6.3,R,2000
Quills ,"7.4 based on 44,753 user ratings",2000-12-25,Philip Kaufman,"Geoffrey Rush,Kate Winslet,Joaquin Phoenix",70,NA,NA,4,"male-pubic-hair,lust,penis,pubic-hair,asylum","Biography,Drama","Rated R for strong sexual content including dialogue, violence and language","UK,Germany,USA","English,Latin",13500000,249383(USA),7060876,124,Color,1.85:1,7.4,R,2000
Pay It Forward ,"7.2 based on 95,723 user ratings",2000-10-20,Mimi Leder,"Kevin Spacey,Haley Joel Osment,Helen Hunt",40,NA,NA,2,"teacher,boy,good-deed,alcoholism,protective-male",Drama,"Rated PG-13 for mature thematic elements including substance abuse/recovery, some sexual situations, language and brief violence",USA,English,40000000,9631359(USA),33508922,123,Color,1.85:1,7.2,PG-13,2000
Mission to Mars ,"5.6 based on 60,395 user ratings",2000-03-10,NA,NA,34,NA,NA,3,"mars,astronaut,outer-space,mars-the-planet,zero-gravity","Adventure,Sci-Fi,Thriller",Rated PG for sci-fi violence and mild language,USA,English,90000000,22855247(USA),60874615,114,Color,2.35:1,5.6,PG,2000
The Patriot ,"7.1 based on 207,296 user ratings",2000-06-28,Roland Emmerich,"Mel Gibson,Heath Ledger,Joely Richardson",63,NA,NA,807,"british,american-revolution,hero,standoff,french","Action,Drama,History,War",Rated R for strong war violence,"USA,Germany",English,110000000,22413710(USA),113330342,165,Color,2.35:1,7.1,R,2000
X-Men ,"7.4 based on 451,826 user ratings",2000-07-14,Bryan Singer,"Patrick Stewart,Hugh Jackman,Ian McKellen",64,NA,NA,376,"mutant,professor,superhero,superhero-team,first-part","Action,Adventure,Sci-Fi",Rated PG-13 for sci-fi action violence,USA,English,75000000,54471475(USA),157299717,104,Color,2.35:1,7.4,PG-13,2000
Men of Honor ,"7.2 based on 89,284 user ratings",2000-11-10,George Tillman Jr.,"Cuba Gooding Jr.,Robert De Niro,Charlize Theron",56,NA,NA,2,"navy,african-american,racism,amputee,racial-discrimination","Biography,Drama",Rated R for language,USA,English,32000000,13339465(USA),48814909,129,Color,2.35:1,7.2,R,2000
Boiler Room ,"7.0 based on 41,263 user ratings",2000-02-18,Ben Younger,"Giovanni Ribisi,Vin Diesel,Nia Long",63,NA,NA,3,"stock,casino,judge,stock-broker,career","Crime,Drama,Thriller",Rated R for strong language and some drug content,USA,"English,Russian",8000000,6722884(USA),16938179,120,Color,1.85:1,7.0,R,2000
Traffic ,"7.6 based on 170,497 user ratings",2001-01-05,NA,NA,86,NA,NA,1,"judge,cocaine,mexico,interlinked-stories,drug-smuggling","Crime,Drama,Thriller","Rated R for pervasive drug content, strong language, violence and some sexuality","USA,Germany","English,Spanish",48000000,15517549(USA),124107476,147,Color,1.85:1,7.6,R,2001
U-571 ,"6.6 based on 65,226 user ratings",2000-04-21,Jonathan Mostow,"Matthew McConaughey,Bill Paxton,Harvey Keitel",62,NA,NA,3,"u-boat,submarine-movie,historically-inaccurate,world-war-two,battle","Action,War",Rated PG-13 for war violence,"France,USA","English,German",62000000,19553310(USA),77086030,116,Color,2.35:1,6.6,PG-13,2000
Small Time Crooks ,"6.7 based on 31,121 user ratings",2000-05-19,Woody Allen,"Woody Allen,Tracey Ullman,Hugh Grant",69,NA,NA,NA,"crook,three-word-title,new-york-city,written-and-directed-by-cast-member,apartment-building","Comedy,Crime",Rated PG for language,USA,English,18000000,3880723(USA),17071230,94,Color,1.85:1,6.7,PG,2000
Vertical Limit ,"5.9 based on 49,476 user ratings",2000-12-08,NA,NA,48,NA,NA,4,"rescue,k2,death,die-hard-scenario,urination","Action,Adventure,Drama,Thriller",Rated PG-13 for intense life/death situations and brief strong language,"USA,Germany","English,Urdu",75000000,15507845(USA),68473360,124,Color,1.85:1,5.9,PG-13,2000
Finding Forrester ,"7.3 based on 72,935 user ratings",2001-01-12,Gus Van Sant,"Sean Connery,Rob Brown,F. Murray Abraham",62,NA,NA,4,"school,writing,basketball,new-york,mentor",Drama,Rated PG-13 for brief strong language and some sexual references,USA,"English,German",43000000,701207(USA),51768623,136,Color,2.35:1,7.3,PG-13,2001
The Perfect Storm ,"6.4 based on 132,919 user ratings",2000-06-30,NA,NA,59,NA,NA,1,"storm,fish,fishing,sea,death","Action,Adventure,Drama,Thriller",Rated PG-13 for language and scenes of peril,USA,English,140000000,41325042(USA),182618434,130,Color,2.35:1,6.4,PG-13,2000
High Fidelity ,"7.6 based on 142,924 user ratings",2000-03-31,NA,NA,79,NA,NA,1,"employer-employee-relationship,store,record-store,vinyl,thirty-something","Comedy,Drama,Music,Romance",Rated R for language and some sexuality,"UK,USA","English,Danish",20000000,6429107(USA),27277055,113,Color,1.85:1,7.6,R,2000
Pollock ,"7.0 based on 23,002 user ratings",2001-03-23,Ed Harris,"Ed Harris,Marcia Gay Harden,Robert Knott",77,NA,NA,NA,"painter,life-magazine,drinking,artist,1940s","Biography,Drama",Rated R for language and brief sexuality,USA,English,6000000,44244(USA),8596914,122,Color,1.85:1,7.0,R,2001
Fantasia 2000 ,"7.3 based on 27,486 user ratings",2000-06-16,"James Algar,Gaëtan Brizzi","James Levine,Steve Martin,Itzhak Perlman",59,NA,NA,NA,"disney,abstract,ark,piano,fairy-tale","Animation,Family,Fantasy,Music",NA,USA,English,80000000,£49825(UK),60507228,NA,Color,1.78:1/(highdefinition),7.3,NA,2000
Meet the Parents ,"7.0 based on 260,074 user ratings",2000-10-06,NA,NA,73,NA,NA,2,"male-nurse,nurse,cat,cia,jewish",Comedy,"Rated PG-13 for sexual content, drug references and language",USA,"English,Thai,Spanish,Hebrew,French",55000000,28623300(USA),166225040,108,Color,1.85:1,7.0,PG-13,2000
Chicken Run ,"7.0 based on 140,252 user ratings",2000-06-23,"Peter Lord,Nick Park","Mel Gibson,Julia Sawalha,Phil Daniels",88,NA,NA,2,"chicken,farm,escape,rooster,freedom","Animation,Adventure,Comedy,Drama,Family",NA,"UK,USA,France",English,45000000,17506162(USA),106793915,84,Color,1.85:1,7.0,NA,2000
Pitch Black ,"7.1 based on 193,692 user ratings",2000-02-18,David Twohy,"Radha Mitchell,Cole Hauser,Vin Diesel",49,NA,NA,2,"darkness,eclipse,space,captain,survival","Horror,Sci-Fi","Rated R for sci-fi violence and gore, and for language",USA,"English,Arabic",23000000,13467546(USA),39235088,109,Color,2.35:1,7.1,R,2000
Scary Movie ,"6.2 based on 186,905 user ratings",2000-07-07,Keenen Ivory Wayans,"Anna Faris,Jon Abrahams,Marlon Wayans",48,NA,NA,831,"serial-killer,teenager,masked-killer,parody,first-part",Comedy,"Rated R for strong crude sexual humor, language, drug use and violence",USA,English,19000000,42346669(USA),156997084,88,Color,2.35:1,6.2,R,2000
Center Stage ,"6.7 based on 15,795 user ratings",2000-05-12,Nicholas Hytner,"Amanda Schull,Ethan Stiefel,Sascha Radetsky",52,NA,NA,3,"ballet,dancer,love,dancing,dance","Drama,Music,Romance",Rated PG-13 for language and some sensuality,USA,English,18000000,4604621(USA),17174870,115,Color,2.35:1,6.7,PG-13,2000
Before Night Falls ,"7.3 based on 20,825 user ratings",2001-02-23,Julian Schnabel,"Javier Bardem,Johnny Depp,Olatz López Garmendia",85,NA,NA,NA,"cuban,poet,novelist,gay,cuba","Biography,Drama","Rated R for strong sexual content, some language and brief violence",USA,"English,Spanish,Russian,French",NA,85230(USA),4221817,133,Color,1.85:1,7.3,R,2001
"Me, Myself & Irene ","6.5 based on 185,593 user ratings",2000-06-23,"Bobby Farrelly,Peter Farrelly","Jim Carrey,Renée Zellweger,Anthony Anderson",49,NA,NA,2,"rhode-island,dissociative-identity-disorder,police,multiple-personality,limousine",Comedy,"Rated R for sexual content, crude humor, strong language and some violence",USA,"English,German",51000000,24209385(USA),90567722,116,Color,1.85:1,6.5,R,2000
What Women Want ,"6.4 based on 158,564 user ratings",2000-12-15,NA,NA,47,NA,NA,3,"advertising,pantyhose,ex-husband-ex-wife-relationship,telepathy,battle-of-the-sexes","Comedy,Fantasy,Romance",Rated PG-13 for sexual content and language,USA,"English,French",70000000,33614543(USA),182805123,127,Color,1.37:1,6.4,PG-13,2000
You Can Count on Me ,"7.7 based on 22,121 user ratings",2000-12-22,Kenneth Lonergan,"Laura Linney,Matthew Broderick,Mark Ruffalo",85,NA,NA,NA,"bank,single-mother,new-york,car-accident,cheating-husband",Drama,"Rated R for language, some drug use and a scene of sexuality",USA,English,1200000,118170(USA),9180275,111,Color,1.85:1,7.7,R,2000
My Dog Skip ,"7.0 based on 16,622 user ratings",2000-03-03,NA,NA,61,NA,NA,NA,"mississippi,dog,veteran,puppy,1940s","Drama,Family,Sport",Rated PG for some violent content and mild language,USA,"English,German",5000000,56941(USA),34099640,95,Color,1.37:1,7.0,PG,2000
The Emperor's New Groove ,"7.3 based on 127,895 user ratings",2000-12-15,Mark Dindal,"David Spade,John Goodman,Eartha Kitt",70,NA,NA,1,"llama,emperor,disney,antidote,first-part","Animation,Adventure,Comedy,Family,Fantasy",NA,USA,English,100000000,9812302(USA),89296573,78,Color,1.66:1,7.3,NA,2000
Unbreakable ,"7.2 based on 244,785 user ratings",2000-11-22,M. Night Shyamalan,"Bruce Willis,Samuel L. Jackson,Robin Wright",62,NA,NA,1,"train-crash,invulnerability,child-with-gun,comic-book,superhero","Drama,Mystery,Sci-Fi,Thriller","Rated PG-13 for mature thematic elements including some disturbing violent content, and for a crude sexual reference",USA,English,75000000,30330771(USA),94999143,106,Color,2.35:1,7.2,PG-13,2000
Hollow Man ,"5.7 based on 101,685 user ratings",2000-08-04,Paul Verhoeven,"Kevin Bacon,Elisabeth Shue,Josh Brolin",24,NA,NA,2,"experiment,scientist,research,suburb,surrealism","Action,Horror,Sci-Fi,Thriller","Rated R for strong violence, language and some sexuality/nudity","USA,Germany",English,95000000,26414386(USA),73209340,112,Color,1.85:1,5.7,R,2000
Mission: Impossible II ,"6.1 based on 241,640 user ratings",2000-05-24,John Woo,"Tom Cruise,Dougray Scott,Thandie Newton",59,NA,NA,1,"mission,cure,terrorist,thief,virus","Action,Adventure,Thriller",Rated PG-13 for intense sequences of violent action and some sensuality,"USA,Germany",English,125000000,SGD 370000(Singapore),215397307,123,Color,2.35:1,6.1,PG-13,2000
Gone in Sixty Seconds ,"6.5 based on 218,004 user ratings",2000-06-09,Dominic Sena,"Nicolas Cage,Angelina Jolie Pitt,Giovanni Ribisi",35,NA,NA,1,"car,brother,thief,theft,auto-theft","Action,Crime,Thriller","Rated PG-13 for violence, sexuality and language",USA,English,90000000,25336048(USA),101643008,118,Color,2.35:1,6.5,PG-13,2000
The Virgin Suicides ,"7.2 based on 116,635 user ratings",2000-05-19,Sofia Coppola,"Kirsten Dunst,Josh Hartnett,James Woods",76,NA,NA,1,"five-sisters,school,suicide,isolation,catholic","Drama,Romance",Rated R for strong thematic elements involving teens,USA,English,6000000,235122(USA),4859475,97,Color,1.85:1,7.2,R,2000
Where the Heart Is ,"6.8 based on 27,004 user ratings",2000-04-28,Matt Williams,"Natalie Portman,James Frain,Ashley Judd",30,NA,NA,2,"wal-mart,oklahoma,birth,tennessee,photographer","Comedy,Drama,Romance","Rated PG-13 for intense thematic material, language and sexual content",USA,English,15000000,8292939(USA),33771174,120,Color,1.85:1,6.8,PG-13,2000
Dark Days ,"7.8 based on 5,467 user ratings",2001-03-09,Marc Singer,NA,75,NA,NA,NA,"amtrak,new-york-city,eviction,tunnel,new-york",Documentary,NA,USA,English,NA,33039(USA),426687,94,Black and White,1.66:1,7.8,NA,2001
Thirteen Days ,"7.3 based on 45,175 user ratings",2001-01-12,NA,NA,67,NA,NA,NA,"missile,president,cuba,blockade,crisis","Drama,History,Thriller",Rated PG-13 for brief strong language,USA,"English,Russian,Spanish,Romanian",80000000,46668(USA),34566746,145,Color,1.85:1,7.3,PG-13,2001
Wonder Boys ,"7.4 based on 54,609 user ratings",2000-02-25,Curtis Hanson,"Michael Douglas,Tobey Maguire,Frances McDormand",73,NA,NA,NA,"professor,college-girl,pittsburgh-pennsylvania,midlife-crisis,based-on-novel","Comedy,Drama",Rated R for language and drug content,"USA,Germany,UK,Japan",English,55000000,5808919(USA),19389454,107,Color,2.35:1,7.4,R,2000
Chinese Coffee ,"7.3 based on 2,847 user ratings",2000-09-02,NA,NA,NA,NA,NA,NA,"writer,friendship,doorman,jealousy,reference-to-william-shakespeare",Drama,Rated R for language,USA,English,NA,NA,NA,99,Color,1.85:1,7.3,R,2000
Things You Can Tell Just by Looking at Her ,"6.6 based on 5,792 user ratings",2000-10-04,Rodrigo García,"Glenn Close,Cameron Diaz,Calista Flockhart",NA,NA,NA,NA,"boxer-shorts,lesbian,dwarf,dating,pregnancy","Drama,Romance","Rated PG-13 for mature thematic elements, sexual content and language",USA,English,NA,NA,NA,109,Color,1.85:1,6.6,PG-13,2000
The Legend of Bagger Vance ,"6.7 based on 45,226 user ratings",2000-11-03,Robert Redford,"Will Smith,Matt Damon,Charlize Theron",47,NA,NA,4,"golf,golfer,game,caddy,golf-course","Drama,Fantasy,Sport",Rated PG-13 for some sexual content,USA,English,60000000,11516712(USA),30695227,126,Color,1.85:1,6.7,PG-13,2000
Space Cowboys ,"6.4 based on 60,078 user ratings",2000-08-04,Clint Eastwood,"Clint Eastwood,Tommy Lee Jones,Donald Sutherland",73,NA,NA,2,"nasa,space-shuttle,old-age,satellite,space","Action,Adventure,Thriller",Rated PG-13 for some language,USA,English,65000000,18093776(USA),90454043,130,Black and White,2.35:1,6.4,PG-13,2000
Miss Congeniality ,"6.2 based on 137,000 user ratings",2000-12-22,Donald Petrie,"Sandra Bullock,Michael Caine,Benjamin Bratt",43,NA,NA,1,"pageant,undercover,fbi,beauty-pageant,female-agent","Action,Comedy,Crime,Romance",Rated PG-13 for sexual references and a scene of violence,USA,"English,Russian,French,Hawaiian,Spanish",45000000,13853686(USA),106807667,109,Color,1.85:1,6.2,PG-13,2000
Dinosaur ,"6.5 based on 38,362 user ratings",2000-05-19,NA,NA,56,NA,NA,3,"lemur,egg,meteor,iguanodon,nesting-grounds","Animation,Adventure,Family,Thriller",Rated PG for intense images,USA,English,127500000,38854851(USA),137748063,82,Color,1.85:1,6.5,PG,2000
The 6th Day ,"5.9 based on 99,857 user ratings",2000-11-17,Roger Spottiswoode,"Arnold Schwarzenegger,Michael Rapaport,Tony Goldwyn",49,NA,NA,NA,"cloning,clone,future,laser-gun,murder","Action,Mystery,Sci-Fi,Thriller","Rated PG-13 for strong action violence, brief strong language and some sensuality",USA,English,82000000,13020883(USA),34543701,123,Color,2.35:1,5.9,PG-13,2000
Keeping the Faith ,"6.4 based on 44,784 user ratings",2000-04-14,NA,NA,60,NA,NA,NA,"priest,rabbi,jewish,synagogue,celibacy","Comedy,Drama,Romance",Rated PG-13 for some sexuality and language,USA,"English,Hebrew,Spanish",30000000,8078671(USA),37036404,128,Color,1.85:1,6.4,PG-13,2000
Dinner Rush ,"7.3 based on 4,353 user ratings",2002-03-29,Bob Giraldi,"Danny Aiello,Edoardo Ballerini,John Rothman",79,NA,NA,NA,"food,restaurant,police,gangster,detective","Crime,Drama,Romance","Rated R for language, some violence and sexuality",USA,"English,Italian,French",NA,110000(USA),110000,99,Color,1.85:1,7.3,R,2002
The Kid ,"6.1 based on 34,435 user ratings",2000-07-07,Jon Turteltaub,"Bruce Willis,Spencer Breslin,Emily Mortimer",45,NA,NA,NA,"image-consultant,childhood,one-two-combo,altering-history,cartoon-on-tv","Comedy,Family,Fantasy",Rated PG for boxing action and mild thematic elements,USA,English,60000000,12687726(USA),69688384,104,Color,1.85:1,6.1,PG,2000
"Girl, Interrupted ","7.3 based on 125,101 user ratings",2000-01-14,James Mangold,"Winona Ryder,Angelina Jolie Pitt,Clea DuVall",51,NA,NA,764,"father-daughter-incest,mental-hospital,1960s,suicide,suicide-attempt","Biography,Drama","Rated R for strong language and content relating to drugs, sexuality and suicide","USA,Germany",English,24000000,95399(USA),28871190,127,Color,1.85:1,7.3,R,2000
Naked States ,6.3 based on 455 user ratings,2001-09-20,NA,NA,NA,NA,NA,NA,"art,performance-art,photographer,arts-magazine,griffith-observatory",Documentary,Rated R for nudity and language,USA,English,NA,NA,NA,80,Color,NA,6.3,R,2001
Charlie's Angels ,"5.5 based on 145,162 user ratings",2000-11-03,McG,"Cameron Diaz,Drew Barrymore,Lucy Liu",52,NA,NA,1,"martial-arts,first-part,box-office-hit,booty-shake,duct-tape-over-mouth","Action,Adventure,Comedy,Crime,Thriller","Rated PG-13 for action violence, innuendo and some sensuality/nudity","USA,Germany","English,German,Finnish,Japanese,Cantonese",92000000,40128550(USA),125305545,98,Color,2.35:1,5.5,PG-13,2000
Rules of Engagement ,"6.4 based on 37,564 user ratings",2000-04-07,William Friedkin,"Tommy Lee Jones,Samuel L. Jackson,Guy Pearce",45,NA,NA,NA,"colonel,marine,embassy,combat,trial","Drama,Thriller,War","Rated R for scenes of war violence, and for language","UK,Germany,Canada,USA","English,Arabic",60000000,15011181(USA),61322858,128,Color,2.35:1,6.4,R,2000
What Lies Beneath ,"6.6 based on 98,284 user ratings",2000-07-21,Robert Zemeckis,"Harrison Ford,Michelle Pfeiffer,Katharine Towne",51,NA,NA,3,"haunted-house,research,secret,vermont,ghost","Drama,Fantasy,Horror,Mystery,Thriller","Rated PG-13 for terror/violence, sensuality and brief language",USA,English,100000000,29702959(USA),155370362,130,Color,2.35:1,6.6,PG-13,2000
The Whole Nine Yards ,"6.7 based on 90,242 user ratings",2000-02-18,NA,NA,47,NA,NA,2,"hitman,black-humor,adultery,dentist,sex-in-bed","Comedy,Crime",NA,USA,"English,French,Spanish",24000000,15915676(USA),57262492,98,Color,1.85:1,6.7,NA,2000
Hamlet ,"6.0 based on 8,044 user ratings",2000-06-23,NA,NA,70,NA,NA,NA,"murder,city,ghost,revenge,corporation","Drama,Romance,Thriller",Rated R for some violence,USA,English,2000000,62253(USA),1568749,112,Black and White,1.85:1,6.0,R,2000
The Little Mermaid 2: Return to the Sea ,"5.6 based on 11,742 user ratings",2000-09-19,NA,NA,NA,NA,NA,NA,"surrealism,shark,magic,mermaid,ocean","Animation,Drama,Family,Fantasy,Musical",NA,"USA,Canada,Australia",English,NA,NA,NA,75,Color,1.66:1,5.6,NA,2000
Timecode ,"6.2 based on 5,879 user ratings",2000-04-28,Mike Figgis,"Jeanne Tripplehorn,Stellan Skarsgård,Salma Hayek",65,NA,NA,NA,"lesbian,audition,jealousy,real-time,one-word-title",Drama,"Rated R for drug use, sexuality, language and a scene of violence",USA,English,4000000,93148(USA),945041,97,Color,1.85:1,6.2,R,2000
The World of Stainboy ,"7.3 based on 1,951 user ratings",2000-09-26,NA,NA,NA,NA,NA,NA,dream-sequence,"Animation,Short",NA,USA,English,NA,NA,NA,5,Color,NA,7.3,NA,2000
Coyote Ugly ,"5.6 based on 90,408 user ratings",2000-08-04,David McNally,"Piper Perabo,Adam Garcia,John Goodman",27,NA,NA,1,"sexual-attraction,short-shorts,lift-skirt,girl-in-panties,songwriter","Comedy,Drama,Music,Romance",Rated PG-13 for sensuality,USA,English,45000000,17319282(USA),60786269,100,Color,2.35:1,5.6,PG-13,2000
Road Trip ,"6.5 based on 132,788 user ratings",2000-05-19,Todd Phillips,"Breckin Meyer,Seann William Scott,Amy Smart",55,NA,NA,1,"friend,road-trip,college,blonde,road-movie",Comedy,"Rated R for strong sexual content, crude humor, language and drug use",USA,English,15600000,15484004(USA),68525609,93,Color,1.85:1,6.5,R,2000
Autumn in New York ,"5.5 based on 20,183 user ratings",2000-08-11,NA,NA,24,NA,NA,NA,"new-york,may-december-romance,title-directed-by-female,new-york-city,rockefeller-center","Drama,Romance",Rated PG-13 for language and some sensuality,USA,English,40000000,10987006(USA),37752931,103,Color,1.85:1,5.5,PG-13,2000
How the Grinch Stole Christmas ,"6.0 based on 141,216 user ratings",2000-11-17,NA,NA,46,NA,NA,1,"christmas,materialism,public-humiliation,snowflake,box-office-hit","Comedy,Family,Fantasy",Rated PG for some crude humor,"USA,Germany",English,123000000,55082330(USA),260031035,104,Color,1.85:1,6.0,PG,2000
Under Suspicion ,"6.5 based on 18,166 user ratings",2000-11-15,Stephen Hopkins,"Morgan Freeman,Gene Hackman,Thomas Jane",43,NA,NA,NA,"surprise-ending,police,murder,toupee,speech","Crime,Drama,Thriller",Rated R for sexual content and language,"France,USA","English,Italian,Spanish",25000000,109863(USA),258691,110,Color,1.85:1,6.5,R,2000
Michael Jordan to the Max ,"7.5 based on 1,722 user ratings",2000-05-05,"Don Kempf,James D. Stern","Michael Jordan,Phil Jackson,Doug Collins",57,NA,NA,NA,"basketball-player,basketball,chicago-bulls,imax,character-name-in-title","Documentary,Sport",NA,USA,English,NA,578141(USA),18642318,46,Color,1.44:1,7.5,NA,2000
Cecil B. DeMented ,"6.2 based on 11,391 user ratings",2000-09-01,John Waters,"Melanie Griffith,Stephen Dorff,Alicia Witt",57,NA,NA,NA,"movie-star,actress,drive-in,female-protagonist,woman-shot-in-the-forehead","Comedy,Crime,Thriller","Rated R for strong crude sexual content, violence, language and drug use","France,USA",English,10000000,127141(USA),1276984,87,Color,1.85:1,6.2,R,2000
Twin Falls Idaho ,"7.3 based on 3,476 user ratings",2000-03-29,Michael Polish,"Michael Polish,Mark Polish,Michele Hicks",71,NA,NA,NA,"low-budget-film,independent-film,twin,conjoined-twins,separation",Drama,Rated R for language,USA,English,500000,49849(USA),985341,111,Color,1.85:1,7.3,R,2000
Proof of Life ,"6.2 based on 49,250 user ratings",2000-12-08,Taylor Hackford,"Meg Ryan,Russell Crowe,David Morse",45,NA,NA,4,"ransom,south-america,pipeline,prisoner,jungle","Action,Drama,Thriller","Rated R for violence, language and some drug material",USA,"English,Spanish,Russian,Italian,French",65000000,10207869(USA),32598931,135,Color,2.35:1,6.2,R,2000
Shadow of the Vampire ,"6.9 based on 34,159 user ratings",2001-01-26,E. Elias Merhige,"John Malkovich,Willem Dafoe,Udo Kier",71,NA,NA,NA,"vampire,nosferatu,actor,costume-horror,breasts","Drama,Horror","Rated R for some sexuality, drug content, violence and language","UK,USA,Luxembourg","English,German,Luxembourgish",8000000,94390(USA),8279017,92,Black and White,2.35:1,6.9,R,2001
Men in Black Alien Attack ,"6.8 based on 3,160 user ratings",2000-04-08,NA,NA,NA,NA,NA,NA,"alien,men-in-black,theme-park-attraction,color-in-title,alien-intelligence","Action,Sci-Fi,Short",NA,USA,English,NA,NA,NA,4,Color,NA,6.8,NA,2000
Chocolat ,"7.3 based on 150,098 user ratings",2001-01-19,Lasse Hallström,"Juliette Binoche,Judi Dench,Alfred Molina",64,NA,NA,2,"chocolate,france,village,food,chocolate-shop","Drama,Romance",Rated PG-13 for a scene of sensuality and some violence,"UK,USA","English,French",25000000,157624(USA),71309760,121,Color,1.85:1,7.3,PG-13,2001
