Rank,RatingTomatometer,Title,No..of.Reviews,year,html_suffix
1,99%,Rosemary's Baby (1968),69,1968,/m/rosemarys_baby/
2,98%,Once Upon a Time in the West (1968),55,1968,/m/once_upon_a_time_in_the_west/
3,94%,2001: A Space Odyssey (1968),78,1968,/m/1000085-2001_a_space_odyssey/
4,96%,Night of the Living Dead (1968),53,1968,/m/1015052-night_of_the_living_dead/
5,96%,Yellow Submarine (1968),47,1968,/m/beatles_the_yellow_submarine/
6,95%,Belle de Jour (1968),43,1968,/m/belle_de_jour/
7,91%,The Producers (1968),64,1968,/m/1016819-producers/
8,90%,Planet of the Apes (1968),49,1968,/m/1016397-planet_of_the_apes/
9,73%,Barbarella (1968),44,1968,/m/barbarella/
1,97%,L'Arm�e des ombres (Army in the Shadows) (1969),73,1969,/m/army-of-shadows-1969/
2,98%,The Wild Bunch (1969),49,1969,/m/1059489-wild_bunch/
3,90%,Midnight Cowboy (1969),60,1969,/m/midnight_cowboy/
4,90%,True Grit (1969),50,1969,/m/true_grit/
5,89%,Butch Cassidy and the Sundance Kid (1969),46,1969,/m/1003318-butch_cassidy_and_the_sundance_kid/
6,89%,Easy Rider (1969),45,1969,/m/easy_rider/
7,82%,On Her Majesty's Secret Service (1969),45,1969,/m/on_her_majestys_secret_service/
1,100%,The Conformist (1970),50,1970,/m/the_conformist/
2,95%,Le Cercle Rouge (1970),59,1970,/m/le_cercle_rouge/
3,95%,Patton (1970),44,1970,/m/patton/
4,87%,M*A*S*H (1970),45,1970,/m/mash/
5,86%,Five Easy Pieces (1970),44,1970,/m/five_easy_pieces/
1,100%,The Last Picture Show (1971),51,1971,/m/last_picture_show/
2,98%,The French Connection (1971),55,1971,/m/french_connection/
3,95%,Dirty Harry (1971),42,1971,/m/dirty_harry/
4,90%,A Clockwork Orange (1971),52,1971,/m/clockwork_orange/
5,88%,THX 1138 (1971),59,1971,/m/thx_1138/
6,90%,McCabe & Mrs. Miller (1971),40,1971,/m/mccabe_and_mrs_miller/
7,86%,Harold and Maude (1971),42,1971,/m/harold_and_maude/
8,67%,Diamonds Are Forever (1971),43,1971,/m/diamonds_are_forever/
1,99%,The Godfather (1972),84,1972,/m/godfather/
2,98%,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972),47,1972,/m/discreet_charm_of_the_bourgeoisie/
3,98%,"Aguirre, der Zorn Gottes (Aguirre, the Wrath of God) (1972)",43,1972,/m/aguirre_the_wrath_of_god/
4,93%,Deliverance (1972),54,1972,/m/deliverance/
5,80%,Pink Flamingos (1972),41,1972,/m/pink_flamingos/
1,100%,Playtime (1973),41,1973,/m/playtime/
2,98%,Mean Streets (1973),51,1973,/m/mean_streets/
3,96%,Don't Look Now (1973),49,1973,/m/dont_look_now/
4,95%,Enter the Dragon (1973),44,1973,/m/enter_the_dragon/
5,95%,American Graffiti (1973),43,1973,/m/american_graffiti/
6,93%,The Sting (1973),55,1973,/m/1020130-sting/
7,90%,The Wicker Man (1973),48,1973,/m/the_wicker_man_1973/
8,87%,The Exorcist (1973),67,1973,/m/exorcist/
9,66%,Live and Let Die (1973),44,1973,/m/live_and_let_die/
1,97%,"The Godfather, Part II (1974)",72,1974,/m/godfather_part_ii/
2,98%,Chinatown (1974),62,1974,/m/chinatown/
3,98%,Badlands (1974),50,1974,/m/1001577-badlands/
4,98%,The Conversation (1974),46,1974,/m/conversation/
5,93%,Young Frankenstein (1974),54,1974,/m/young_frankenstein/
6,91%,Amarcord (1974),43,1974,/m/amarcord/
7,90%,Blazing Saddles (1974),50,1974,/m/blazing_saddles/
8,88%,The Texas Chainsaw Massacre (1974),56,1974,/m/1021112-texas_chainsaw_massacre/
9,88%,F for Fake (1974),49,1974,/m/f_for_fake/
10,45%,The Man with the Golden Gun (1974),44,1974,/m/man_with_the_golden_gun/
1,97%,Jaws (1975),73,1975,/m/jaws/
2,97%,Monty Python and the Holy Grail (1975),71,1975,/m/monty_python_and_the_holy_grail/
3,96%,Barry Lyndon (1975),53,1975,/m/barry_lyndon/
4,95%,One Flew Over the Cuckoo's Nest (1975),58,1975,/m/one_flew_over_the_cuckoos_nest/
5,95%,Dog Day Afternoon (1975),40,1975,/m/dog_day_afternoon/
6,94%,Nashville (1975),47,1975,/m/nashville/
7,91%,Professione: reporter (The Passenger) (1975),67,1975,/m/the-passenger-professione-reporter/
8,88%,Three Days of the Condor (1975),40,1975,/m/three_days_of_the_condor/
9,80%,The Rocky Horror Picture Show (1975),41,1975,/m/rocky_horror_picture_show/
1,99%,Taxi Driver (1976),68,1976,/m/taxi_driver/
2,96%,Solaris (1976),48,1976,/m/solaris_1976/
3,93%,Rocky (1976),56,1976,/m/1017776-rocky/
4,93%,Carrie (1976),54,1976,/m/1003625-carrie/
5,93%,All the President's Men (1976),54,1976,/m/all_the_presidents_men/
6,91%,Network (1976),56,1976,/m/network/
7,86%,The Omen (1976),43,1976,/m/1015517-omen/
8,83%,The Man Who Fell to Earth (1976),48,1976,/m/man_who_fell_to_earth/
1,98%,Annie Hall (1977),66,1977,/m/annie_hall/
2,93%,Star Wars: Episode IV - A New Hope (1977),104,1977,/m/star_wars/
3,96%,Close Encounters of the Third Kind (1977),51,1977,/m/close_encounters_of_the_third_kind/
4,93%,Suspiria (1977),42,1977,/m/1020662-suspiria/
5,91%,Eraserhead (1977),55,1977,/m/eraserhead/
6,88%,Saturday Night Fever (1977),43,1977,/m/saturday_night_fever/
7,79%,The Spy Who Loved Me (1977),47,1977,/m/spy_who_loved_me/
1,98%,The Last Waltz (1978),44,1978,/m/the_last_waltz_1978/
2,93%,Superman (1978),61,1978,/m/superman_the_movie/
3,93%,The Deer Hunter (1978),61,1978,/m/deer_hunter/
4,94%,Invasion of the Body Snatchers (1978),48,1978,/m/1010679-invasion_of_the_body_snatchers/
5,94%,Days of Heaven (1978),48,1978,/m/days_of_heaven/
6,92%,Halloween (1978),53,1978,/m/1009113-halloween/
7,91%,National Lampoon's Animal House (1978),46,1978,/m/national_lampoons_animal_house/
8,77%,Grease (1978),60,1978,/m/grease/
1,97%,Alien (1979),102,1979,/m/alien/
2,97%,Apocalypse Now (1979),78,1979,/m/apocalypse_now/
3,98%,Manhattan (1979),55,1979,/m/manhattan/
4,96%,Monty Python's Life of Brian (1979),57,1979,/m/monty_pythons_life_of_brian/
5,96%,Being There (1979),46,1979,/m/being_there/
6,94%,Nosferatu: Phantom der Nacht (Nosferatu the Vampyre) (1979),50,1979,/m/nosferatu_the_vampyre/
7,90%,Mad Max (1979),58,1979,/m/mad_max/
8,88%,Kramer vs. Kramer (1979),41,1979,/m/kramer_vs_kramer/
9,87%,The Muppet Movie (1979),47,1979,/m/muppet_movie/
10,71%,The Fog (1979),41,1979,/m/1007617-fog/
11,60%,Moonraker (1979),45,1979,/m/1014217-moonraker/
1,94%,Star Wars: Episode V - The Empire Strikes Back (1980),88,1980,/m/empire_strikes_back/
2,97%,Raging Bull (1980),60,1980,/m/raging_bull/
3,97%,Airplane! (1980),58,1980,/m/airplane/
4,93%,Ordinary People (1980),40,1980,/m/ordinary_people/
5,91%,The Big Red One (1980),44,1980,/m/big_red_one/
6,88%,The Shining (1980),66,1980,/m/shining/
7,90%,The Elephant Man (1980),41,1980,/m/1006527-elephant_man/
8,85%,The Blues Brothers (1980),53,1980,/m/blues_brothers/
9,86%,Altered States (1980),42,1980,/m/altered_states/
10,84%,Dressed to Kill (1980),43,1980,/m/1006299-dressed_to_kill/
11,75%,Caddyshack (1980),48,1980,/m/caddyshack/
12,58%,Friday the 13th (1980),50,1980,/m/friday_the_13th_part_1/
13,57%,Heaven's Gate (1980),42,1980,/m/heavens_gate/
14,50%,Cruising (1980),42,1980,/m/cruising/
1,98%,Das Boot (1981),46,1981,/m/das_boot/
2,98%,Diva (1981),44,1981,/m/1005973-diva/
3,94%,Raiders of the Lost Ark (1981),71,1981,/m/raiders_of_the_lost_ark/
4,95%,The Evil Dead (1981),55,1981,/m/the-evil-dead/
5,91%,Time Bandits (1981),44,1981,/m/time_bandits/
6,90%,Blow Out (1981),42,1981,/m/blow_out/
7,89%,An American Werewolf in London (1981),46,1981,/m/american_werewolf_in_london/
8,89%,Superman II (1981),45,1981,/m/superman_ii/
9,85%,Escape from New York (1981),53,1981,/m/1006717-escape_from_new_york/
10,83%,Chariots of Fire (1981),64,1981,/m/chariots_of_fire/
11,74%,For Your Eyes Only (1981),46,1981,/m/for_your_eyes_only/
1,98%,E.T. The Extra-Terrestrial (1982),112,1982,/m/et_the_extraterrestrial/
2,98%,Mad Max 2: The Road Warrior (1982),42,1982,/m/mad_max_2_the_road_warrior/
3,89%,Blade Runner (1982),104,1982,/m/blade_runner/
4,88%,Poltergeist (1982),56,1982,/m/1016513-poltergeist/
5,89%,Tootsie (1982),45,1982,/m/tootsie/
6,88%,Star Trek II: The Wrath of Khan (1982),50,1982,/m/star_trek_ii_the_wrath_of_khan/
7,88%,Gandhi (1982),50,1982,/m/gandhi/
8,80%,The Thing (1982),50,1982,/m/1021244-thing/
9,78%,Fast Times At Ridgemont High (1982),49,1982,/m/fast_times_at_ridgemont_high/
10,70%,TRON (1982),54,1982,/m/tron/
11,65%,Cat People (1982),43,1982,/m/1003758-cat_people/
1,98%,The Right Stuff (1983),42,1983,/m/right_stuff/
2,96%,Risky Business (1983),47,1983,/m/1017641-risky_business/
3,93%,National Lampoon's Vacation (1983),43,1983,/m/national_lampoons_vacation/
4,93%,WarGames (War Games) (1983),41,1983,/m/wargames/
5,90%,The King of Comedy (1983),48,1983,/m/1011623-king_of_comedy/
6,89%,A Christmas Story (1983),54,1983,/m/1004151-christmas_story/
7,90%,The Dead Zone (1983),41,1983,/m/dead_zone/
8,88%,Terms of Endearment (1983),42,1983,/m/terms_of_endearment/
9,86%,Trading Places (1983),42,1983,/m/trading_places/
10,82%,Scarface (1983),67,1983,/m/scarface/
11,80%,Star Wars: Episode VI - Return of the Jedi (1983),85,1983,/m/star_wars_episode_vi_return_of_the_jedi/
12,78%,Videodrome (1983),45,1983,/m/videodrome/
13,63%,Never Say Never Again (1983),46,1983,/m/never_say_never_again/
14,42%,Octopussy (1983),43,1983,/m/octopussy/
15,26%,Superman III (1983),43,1983,/m/superman_iii/
1,100%,The Terminator (1984),56,1984,/m/terminator/
2,97%,Ghostbusters (1984 Original) (1984),69,1984,/m/ghostbusters/
3,95%,Amadeus (1984),83,1984,/m/amadeus/
4,98%,Repo Man (1984),45,1984,/m/repo_man/
5,94%,Blood Simple (1984),85,1984,/m/blood_simple/
6,95%,This Is Spinal Tap (1984),61,1984,/m/this_is_spinal_tap/
7,94%,A Nightmare on Elm Street (1984),47,1984,/m/nightmare_on_elm_street/
8,93%,The Killing Fields (1984),40,1984,/m/killing_fields/
9,90%,The Karate Kid (1984),42,1984,/m/karate_kid/
10,89%,Once Upon a Time in America (1984),47,1984,/m/once_upon_a_time_in_america/
11,87%,Romancing the Stone (1984),47,1984,/m/romancing_the_stone/
12,85%,Indiana Jones and the Temple of Doom (1984),65,1984,/m/indiana_jones_and_the_temple_of_doom/
13,85%,Gremlins (1984),60,1984,/m/gremlins/
14,83%,Beverly Hills Cop (1984),42,1984,/m/beverly_hills_cop/
15,78%,Star Trek III - The Search for Spock (1984),41,1984,/m/star_trek_iii_the_search_for_spock/
16,69%,Revenge of the Nerds (1984),42,1984,/m/revenge_of_the_nerds/
17,66%,Purple Rain (1984),44,1984,/m/purple_rain/
18,57%,Dune (1984),42,1984,/m/1006364-dune/
1,96%,Back to the Future (1985),77,1985,/m/back_to_the_future/
2,96%,Ran (1985),76,1985,/m/ran/
3,98%,Brazil (1985),46,1985,/m/1003033-brazil/
4,94%,Re-Animator (1985),50,1985,/m/reanimator/
5,90%,After Hours (1985),50,1985,/m/1032180-after_hours/
6,89%,The Breakfast Club (1985),56,1985,/m/breakfast_club/
7,89%,Pee-wee's Big Adventure (1985),44,1985,/m/peewees_big_adventure/
8,81%,Mad Max Beyond Thunderdome (1985),47,1985,/m/mad_max_beyond_thunderdome/
9,70%,The Goonies (1985),46,1985,/m/goonies/
10,53%,Out of Africa (1985),43,1985,/m/out_of_africa/
11,39%,Rocky IV (1985),44,1985,/m/rocky_iv/
12,36%,A View to a Kill (1985),55,1985,/m/view_to_a_kill/
1,98%,Aliens (1986),62,1986,/m/1000617-aliens/
2,94%,Blue Velvet (1986),64,1986,/m/blue_velvet/
3,93%,Hannah and Her Sisters (1986),54,1986,/m/hannah_and_her_sisters/
4,91%,The Fly (1986),57,1986,/m/1007602-fly/
5,91%,Stand by Me (1986),53,1986,/m/stand_by_me_1986/
6,90%,Little Shop of Horrors (1986),49,1986,/m/1012515-little_shop_of_horrors/
7,88%,Platoon (1986),60,1986,/m/platoon/
8,88%,Hoosiers (1986),43,1986,/m/hoosiers/
9,86%,Henry: Portrait of a Serial Killer (1986),56,1986,/m/henry-portrait-of-a-serial-killer/
10,81%,Ferris Bueller's Day Off (1986),62,1986,/m/ferris_buellers_day_off/
11,80%,Pretty in Pink (1986),45,1986,/m/pretty_in_pink/
12,55%,Top Gun (1986),51,1986,/m/top_gun/
13,13%,Howard the Duck (1986),45,1986,/m/howard_the_duck/
1,97%,The Princess Bride (1987),64,1987,/m/princess_bride/
2,98%,Evil Dead 2: Dead by Dawn (1987),52,1987,/m/evil_dead_2_dead_by_dawn/
3,98%,Wings of Desire (1987),46,1987,/m/wings_of_desire/
4,95%,Full Metal Jacket (1987),74,1987,/m/full_metal_jacket/
5,98%,Broadcast News (1987),41,1987,/m/broadcast_news/
6,94%,"Planes, Trains and Automobiles (1987)",50,1987,/m/planes_trains_and_automobiles/
7,92%,The Last Emperor (1987),59,1987,/m/last_emperor/
8,92%,Moonstruck (1987),51,1987,/m/moonstruck/
9,91%,No Way Out (1987),43,1987,/m/1015218-no_way_out/
10,90%,Raising Arizona (1987),50,1987,/m/raising_arizona/
11,88%,RoboCop (1987),57,1987,/m/1017712-robocop/
12,88%,Near Dark (1987),48,1987,/m/1014793-near_dark/
13,84%,Lethal Weapon (1987),51,1987,/m/lethal_weapon/
14,83%,Empire of the Sun (1987),40,1987,/m/empire_of_the_sun/
15,80%,The Untouchables (1987),55,1987,/m/untouchables/
16,78%,Wall Street (1987),49,1987,/m/wall_street/
17,78%,Fatal Attraction (1987),46,1987,/m/1007141-fatal_attraction/
18,78%,Predator (1987),41,1987,/m/predator/
19,72%,The Lost Boys (1987),58,1987,/m/lost_boys/
20,71%,Dirty Dancing (1987),58,1987,/m/dirty_dancing/
21,70%,The Living Daylights (1987),50,1987,/m/living_daylights/
22,12%,Superman IV: The Quest for Peace (1987),42,1987,/m/superman_iv_the_quest_for_peace/
1,97%,Big (1988),71,1988,/m/big/
2,97%,Bull Durham (1988),63,1988,/m/bull_durham/
3,97%,Who Framed Roger Rabbit (1988),61,1988,/m/who_framed_roger_rabbit/
4,98%,Hairspray (1988),40,1988,/m/1009096-hairspray/
5,96%,Midnight Run (1988),45,1988,/m/midnight_run/
6,95%,Heathers (1988),44,1988,/m/heathers/
7,93%,A Fish Called Wanda (1988),59,1988,/m/fish_called_wanda/
8,92%,Die Hard (1988),64,1988,/m/die_hard/
9,93%,My Neighbor Totoro (1988),44,1988,/m/my_neighbor_totoro/
10,90%,Rain Man (1988),69,1988,/m/rain_man/
11,90%,Cinema Paradiso (Nuovo Cinema Paradiso) (1988),67,1988,/m/cinema_paradiso/
12,87%,Akira (1988),46,1988,/m/akira/
13,86%,The Naked Gun: From the Files of Police Squad! (1988),51,1988,/m/the_naked_gun_from_the_files_of_police_squad/
14,85%,Eight Men Out (1988),48,1988,/m/eight_men_out/
15,83%,They Live (1988),48,1988,/m/they_live/
16,82%,The Last Temptation of Christ (1988),51,1988,/m/last_temptation_of_christ/
17,82%,Talk Radio (1988),45,1988,/m/talk_radio/
18,81%,Beetlejuice (1988),43,1988,/m/beetlejuice/
19,78%,Frantic (1988),40,1988,/m/1007832-frantic/
20,68%,Scrooged (1988),40,1988,/m/scrooged/
1,98%,"Sex, Lies, and Videotape (1989)",43,1989,/m/sex_lies_and_videotape/
2,98%,Say Anything... (1989),42,1989,/m/say_anything/
3,93%,Do the Right Thing (1989),67,1989,/m/do_the_right_thing/
4,92%,The Little Mermaid (1989),65,1989,/m/the_little_mermaid_1989/
5,92%,Parenthood (1989),53,1989,/m/parenthood/
6,93%,Glory (1989),41,1989,/m/1008415-glory/
7,93%,Crimes and Misdemeanors (1989),41,1989,/m/crimes_and_misdemeanors/
8,92%,The Adventures of Baron Munchausen (1989),51,1989,/m/adventures_of_baron_munchausen/
9,89%,When Harry Met Sally (1989),64,1989,/m/when_harry_met_sally/
10,88%,Indiana Jones and the Last Crusade (1989),68,1989,/m/indiana_jones_and_the_last_crusade/
11,89%,The Abyss (1989),44,1989,/m/abyss/
12,86%,Field of Dreams (1989),56,1989,/m/field_of_dreams/
13,85%,Dead Poets Society (1989),55,1989,/m/dead_poets_society/
14,84%,Casualties of War (1989),44,1989,/m/casualties_of_war/
15,82%,Driving Miss Daisy (1989),55,1989,/m/driving_miss_daisy/
16,79%,Bill and Ted's Excellent Adventure (1989),43,1989,/m/bill_and_teds_excellent_adventure/
17,77%,Licence To Kill (1989),52,1989,/m/licence_to_kill/
18,72%,Batman (1989),68,1989,/m/1001781-batman/
19,63%,Back to the Future Part II (1989),60,1989,/m/back_to_the_future_2/
20,33%,Tango & Cash (1989),42,1989,/m/tango_and_cash/
21,21%,Star Trek V - The Final Frontier (1989),43,1989,/m/star_trek_v_the_final_frontier/
1,96%,GoodFellas (1990),76,1990,/m/1032176-goodfellas/
2,93%,The Freshman (1990),45,1990,/m/10009001-the_freshman/
3,91%,Miller's Crossing (1990),55,1990,/m/millers_crossing/
4,89%,Misery (1990),61,1990,/m/misery/
5,89%,Edward Scissorhands (1990),56,1990,/m/edward_scissorhands/
6,86%,The Hunt for Red October (1990),66,1990,/m/hunt_for_red_october/
7,88%,La Femme Nikita (Nikita) (1990),42,1990,/m/la_femme_nikita/
8,86%,Presumed Innocent (1990),49,1990,/m/presumed_innocent/
9,85%,Total Recall (1990),52,1990,/m/total_recall/
10,83%,Darkman (1990),59,1990,/m/darkman/
11,82%,Dances With Wolves (1990),66,1990,/m/dances_with_wolves/
12,74%,Ghost (1990),66,1990,/m/1031086-ghost/
13,73%,Cry-Baby (1990),55,1990,/m/cry-baby/
14,74%,Back to the Future Part III (1990),43,1990,/m/back_to_the_future_3/
15,69%,Jacob's Ladder (1990),61,1990,/m/jacobs_ladder/
16,69%,Die Hard 2 (1990),61,1990,/m/die_hard_2_1990/
17,67%,"The Godfather, Part III (1990)",57,1990,/m/godfather_part_iii/
18,67%,Gremlins 2: The New Batch (1990),43,1990,/m/gremlins_2_the_new_batch/
19,65%,Wild At Heart (1990),46,1990,/m/wild_at_heart/
20,64%,Dick Tracy (1990),45,1990,/m/1029314-dick_tracy/
21,62%,Pretty Woman (1990),55,1990,/m/pretty_woman/
22,55%,Home Alone (1990),42,1990,/m/home_alone/
23,48%,Flatliners (1990),42,1990,/m/flatliners/
24,40%,Teenage Mutant Ninja Turtles: The Movie (1990),50,1990,/m/teenage_mutant_ninja_turtles_the_movie/
25,39%,Days of Thunder (1990),59,1990,/m/days_of_thunder/
26,16%,The Bonfire of the Vanities (1990),51,1990,/m/bonfire_of_the_vanities/
1,93%,Beauty and the Beast (1991),103,1991,/m/beauty_and_the_beast_1991/
2,95%,The Silence of the Lambs (1991),74,1991,/m/silence_of_the_lambs/
3,96%,Boyz n the Hood (1991),49,1991,/m/boyz_n_the_hood/
4,93%,Terminator 2: Judgment Day (1991),68,1991,/m/terminator_2_judgment_day/
5,91%,Barton Fink (1991),54,1991,/m/barton_fink/
6,88%,Delicatessen (1991),52,1991,/m/delicatessen/
7,88%,The Commitments (1991),40,1991,/m/1037024-commitments/
8,85%,JFK (1991),60,1991,/m/1037756-jfk/
9,85%,Bugsy (1991),59,1991,/m/bugsy/
10,83%,Thelma & Louise (1991),66,1991,/m/thelma_and_louise/
11,83%,The Fisher King (1991),54,1991,/m/fisher_king/
12,83%,Star Trek VI - The Undiscovered Country (1991),48,1991,/m/star_trek_vi_the_undiscovered_country/
13,82%,My Own Private Idaho (1991),56,1991,/m/my_own_private_idaho/
14,83%,What About Bob? (1991),40,1991,/m/what_about_bob/
15,82%,Dead Again (1991),44,1991,/m/dead_again/
16,81%,Jungle Fever (1991),48,1991,/m/jungle_fever/
17,76%,Cape Fear (1991),46,1991,/m/1037581-cape_fear/
18,73%,Fried Green Tomatoes (1991),41,1991,/m/fried_green_tomatoes/
19,73%,Father of the Bride (1991),41,1991,/m/1037864-father_of_the_bride/
20,71%,Backdraft (1991),42,1991,/m/backdraft/
21,68%,Point Break (1991),57,1991,/m/point_break/
22,62%,The Rocketeer (1991),58,1991,/m/rocketeer/
23,60%,The Addams Family (1991),40,1991,/m/addams_family/
24,57%,The Naked Gun 2 1/2: The Smell of Fear (1991),40,1991,/m/naked_gun_2_12_the_the_smell_of_fear/
25,54%,The Doors (1991),59,1991,/m/doors/
26,50%,Robin Hood: Prince of Thieves (1991),52,1991,/m/robin_hood_prince_of_thieves/
